date,tweets
05-04-2009,2
05-08-2009,2
05-12-2009,2
05-13-2009,1
05-14-2009,1
05-15-2009,1
05-16-2009,1
05-17-2009,1
05-18-2009,1
05-19-2009,1
05-20-2009,2
05-21-2009,1
05-22-2009,1
05-23-2009,1
05-26-2009,1
05-27-2009,1
05-28-2009,1
06-03-2009,1
06-05-2009,1
06-08-2009,1
06-14-2009,1
06-15-2009,1
06-18-2009,1
06-21-2009,1
06-23-2009,1
06-24-2009,1
06-26-2009,1
06-30-2009,1
07-04-2009,1
07-13-2009,1
07-15-2009,1
07-22-2009,1
07-28-2009,1
08-04-2009,1
08-11-2009,1
08-14-2009,1
08-20-2009,1
08-21-2009,1
08-23-2009,1
08-29-2009,1
09-01-2009,1
09-14-2009,1
09-29-2009,1
10-05-2009,1
10-14-2009,1
10-22-2009,1
10-27-2009,1
11-02-2009,1
11-16-2009,1
11-26-2009,1
12-03-2009,1
12-23-2009,1
01-12-2010,1
01-15-2010,1
01-21-2010,1
01-22-2010,1
02-07-2010,1
02-10-2010,1
02-11-2010,1
02-26-2010,1
03-05-2010,1
03-12-2010,1
03-15-2010,1
03-17-2010,1
03-18-2010,1
03-19-2010,1
03-23-2010,1
03-24-2010,1
03-29-2010,1
03-31-2010,1
04-01-2010,1
04-06-2010,3
04-07-2010,1
04-09-2010,1
04-12-2010,1
04-13-2010,1
04-14-2010,1
04-16-2010,1
04-20-2010,1
04-21-2010,1
04-22-2010,1
04-23-2010,1
04-26-2010,1
04-28-2010,1
04-29-2010,1
04-30-2010,1
05-03-2010,3
05-05-2010,1
05-13-2010,1
05-17-2010,1
05-19-2010,1
05-20-2010,2
05-21-2010,1
05-24-2010,1
05-25-2010,2
05-26-2010,2
05-27-2010,1
05-28-2010,1
06-02-2010,1
06-04-2010,2
06-05-2010,1
06-08-2010,1
06-09-2010,2
06-10-2010,1
06-15-2010,2
06-17-2010,2
06-21-2010,2
06-22-2010,1
06-24-2010,1
06-28-2010,1
07-01-2010,1
07-02-2010,2
07-06-2010,1
07-14-2010,1
07-19-2010,3
07-20-2010,1
07-29-2010,3
07-30-2010,1
08-04-2010,2
08-09-2010,1
08-12-2010,6
08-19-2010,2
08-23-2010,1
08-24-2010,1
08-26-2010,1
08-30-2010,1
08-31-2010,1
09-01-2010,1
09-02-2010,2
09-07-2010,2
09-09-2010,1
09-14-2010,1
09-15-2010,1
09-16-2010,1
09-17-2010,1
09-23-2010,1
09-24-2010,1
09-30-2010,1
10-01-2010,1
10-06-2010,1
10-07-2010,2
10-14-2010,2
10-21-2010,1
10-27-2010,1
10-28-2010,1
11-03-2010,1
11-04-2010,1
11-11-2010,1
11-15-2010,1
11-18-2010,2
11-22-2010,1
11-24-2010,3
11-29-2010,1
12-02-2010,1
12-09-2010,1
12-10-2010,1
12-13-2010,3
12-14-2010,1
12-16-2010,1
12-23-2010,1
12-30-2010,1
01-12-2011,2
01-13-2011,1
01-21-2011,2
01-27-2011,2
01-31-2011,2
02-07-2011,1
02-10-2011,1
02-11-2011,1
02-15-2011,3
02-16-2011,2
02-17-2011,2
02-18-2011,1
02-22-2011,1
02-23-2011,1
02-28-2011,3
03-01-2011,1
03-02-2011,1
03-03-2011,1
03-04-2011,1
03-07-2011,2
03-08-2011,1
03-10-2011,1
03-11-2011,1
03-14-2011,2
03-15-2011,5
03-16-2011,3
03-17-2011,2
03-18-2011,2
03-21-2011,4
03-22-2011,2
03-23-2011,1
03-28-2011,2
03-30-2011,2
03-31-2011,2
04-01-2011,1
04-12-2011,1
04-19-2011,1
04-25-2011,1
04-29-2011,1
05-03-2011,1
05-09-2011,1
05-13-2011,2
05-16-2011,2
05-17-2011,1
05-19-2011,1
05-20-2011,1
05-23-2011,2
05-26-2011,1
05-27-2011,1
06-01-2011,2
06-02-2011,1
06-06-2011,1
06-07-2011,1
06-09-2011,1
06-14-2011,2
06-16-2011,1
06-20-2011,1
06-21-2011,2
06-23-2011,1
06-24-2011,1
06-27-2011,2
07-01-2011,2
07-05-2011,2
07-06-2011,1
07-07-2011,3
07-08-2011,4
07-11-2011,2
07-12-2011,3
07-13-2011,1
07-14-2011,8
07-15-2011,3
07-18-2011,5
07-19-2011,3
07-20-2011,3
07-21-2011,1
07-22-2011,2
07-25-2011,5
07-26-2011,5
07-27-2011,5
07-28-2011,6
07-29-2011,7
07-30-2011,2
08-01-2011,3
08-02-2011,6
08-03-2011,7
08-04-2011,4
08-05-2011,3
08-08-2011,2
08-09-2011,5
08-10-2011,5
08-11-2011,3
08-12-2011,2
08-13-2011,3
08-15-2011,7
08-16-2011,2
08-17-2011,4
08-18-2011,4
08-19-2011,3
08-22-2011,3
08-23-2011,4
08-24-2011,3
08-25-2011,4
08-26-2011,5
08-29-2011,4
08-30-2011,4
08-31-2011,4
09-01-2011,4
09-02-2011,2
09-06-2011,5
09-07-2011,5
09-08-2011,6
09-09-2011,3
09-12-2011,8
09-13-2011,6
09-14-2011,5
09-15-2011,5
09-16-2011,6
09-18-2011,1
09-19-2011,5
09-20-2011,4
09-21-2011,6
09-22-2011,4
09-23-2011,3
09-26-2011,2
09-27-2011,6
09-28-2011,8
09-29-2011,8
09-30-2011,8
10-03-2011,8
10-04-2011,7
10-05-2011,2
10-06-2011,4
10-07-2011,6
10-11-2011,7
10-12-2011,2
10-13-2011,2
10-14-2011,3
10-15-2011,2
10-16-2011,1
10-17-2011,6
10-18-2011,7
10-19-2011,5
10-20-2011,8
10-21-2011,6
10-24-2011,6
10-25-2011,7
10-26-2011,7
10-27-2011,5
10-28-2011,4
10-31-2011,1
11-01-2011,6
11-02-2011,8
11-04-2011,5
11-08-2011,5
11-09-2011,5
11-10-2011,9
11-11-2011,8
11-14-2011,5
11-15-2011,7
11-16-2011,3
11-17-2011,6
